comment,mark
"Я что-то совсем запутался. На прошлой неделе было ну просто лютейшее вылизывание  коням со стороны кбшных. Да такое, что все свои терки на свалку истории отправили. Все! Москва едина! Объединяемся против гегемона из берегов Невы. Б0мжам смэрть, все дела. А теперь что? Читаю и диву даюсь от такого массового переобувания😀",0

"Голы на счету Феди , Хорхе , Саши и Хесуса",1

ЦСКА Сила!но не азиат точно 😁,1

"ЦСКА, вперёд! Нужно реабилитироваться!❤️💙💪",1

Армейцам удачи✊,1

Ахмат -сила,1

Удачи Ахмат.)),1

Я ЦСКА и Партизан брат,1

"ставка «обе забьют» не сыграла в 10 последних очных матчах. тем более судит безпарика
Зенит обе забьют
краснодар обе забьют или проиграют",1

Ахмат выиграет конину,1

"ЦСКА только победа! 
Не дайте зениту верхушку",1

Поставил крупно всем удачи,1

Удачи ЦСКА,1

Вперёд кони,1

"Хрюшки не верят в братишек из Торпедо ,и жопу лижут Ахметушкам))",0

Красиво 👍👌,1

"МУЖИКИ, А КАК СЫГРАЛИ ЧЕМПИОНЫ ПЯТИ ТУРОВ?",1

Жесткач какой то ),1

"Эпизод Уткин-Ангбан. Я так и не понял, почему игрок Ростова не был наказан.",1

"Ростов переиграл, мог забрать 3 очка",1

"Ростов должен был побеждать, если бы не ослиное упрямство Комличенко. Пенальти должен бить только Полоз.",1

"Да уж, Ростову и Спартаку сегодня не фортануло!",1

Матч огонь 🔥,1

😱😱😱😱😱😱,1

4 кк в 4х турах дичь же,1

"Почему незабитые пенальти,если только Комля не забил??",1

Надо было выигрывать за 10:1.,1

ля пенали незабили,0

"В конце обзора накладка со временем: идёт счёт 2:2, потом 1:2 и снова 2:2😆",1

"Эх, Ростов! Мог бы спокойно выиграть матч, ведя в счете изначально. А, в итоге, только ушел от поражения. Пенальти надо забивать!",1

Спермaк сам же будет против Зенита играть в автобусе😂😂 Ведь их это единственный шанс,0

Учитесь у Нобоа бить,1

"Ну как так можно Ростов, делать ничью в, таком матче отдать, два, очка, это, не позволительная, роскошь не забить, два, пенальти",1

"Я с этих команд всегда  удивлялся, как они так красиво и успешно играют не имея такого сильного состава, как у московских команд и тем более Зенита",1

"Умяров прям по методичкам Зобнина в матче с Данией, учится у лучшего",1

Да будет срач,1

Без напряга дерби смотрел,1

умяров лучший игрок динамо сегодня,1

Ну хоть приземлили чуток поросят. А то они уже золотые медальки примерять стали. 😃,0

"Спартак как обычно, дно",0

Динамо повезло по игре Спартак чемпион,1

"[id430782737|Игорь], Умяров вопросов нет!!!
Но как объяснить две красные карточки которые должны были показаны за удар локтем Джикии в лицо,  за удар прямой ногой шипами в ногу?? Как объясните!??  Где вар????
Зачем вар нужен???",1

Свинота 🤣🤣🤣,0

"По игре Динамо больше хотело победить, более злее вышли на поле и выжигали перед своей штрафной. А Спартак до игры вышел думая что игра уже сделано и после первых 10 минут как игра не пошла сразу перешли на навал и суету. Итог Динамо заслужило победу",1

Вперёд Динамо!!!,1

Он же никого не убил,1

"Анти футбол от Динамо с первых минут , но Спартак к сожалению ни-че-го прям опасного и не создал)",1

"Глядя на реакцию Моро, складывается впечатление, что не уйдет он сейчас из команды, чтобы не говорили😊 Костя топ, Умярову благодарочка, ну и ""свинок на колбасу""😄",0

"ЦСКА ДИНАМО ДРУЖБА, НУ А МЯСО НАМ НЕ НУЖНО 😎👍💪",0

Нарезали шашлык из свинины🤣🤣🤣,0

Две перекладины....,1

Так и надо спартачам!!) Не видать им чемпионства! У чемпиона есть имя-ЗЕНИТ!!!!!,1

Динамо должно было побеждать 3:0. Повезло пищевику как обычно.,1

"жаль, что не автогол, сильней надо было бить Умярову)))",1

Динамо молодцы👏👏👏👏💙,1

Может и хорошо что наши команды не участвуют в еврокубках. Хоть отдохнём от позора.,1

динамики должны были поросятом 3 грузить поросята отскочили !,0

"Приятно было видеть полные трибуны. Я думаю настоящим болельщикам FAN ID не помеха. А Спартак, считаю, отскочил от крупного счёта сегодня.",1

"Матч не смотрел , по обзору Динамо должно было громить Спартак , один опасный момент за матч маловато )",1

Шунин хорош👍👍👍👍,1

"Адамов, молодец!",1

Академия Краснодара сила!,1

Ростов красавцы! Лучший игрок по делу!,1

"Где обзор матча глянуь можно,чтоб и голы и сейвы вратарей увидеть?!",1

"О, ещё одни сегодня будут проставляться. За Уткина некоторые уже ящик торчат.",1

Недовольный ещё ) радуйся что не 5. 2 Ростов победил,1

Парни из Ростова Вы красаУчики,1

Как обычно..,1

Чуть не обосрались снова,0

Чё с е...ом? 😂,0

"Мужик, чего не весел? Крутой матч сделал!",1

По фактам,1

Красавец! Два пенальти вытащил!!!,1

Это Краснодар! Это академия!💪,1

"Мощный матч, Адамов молодец!",1

"Ростов - клоуны, конечно. Два пенальти не забить... Адамов - топ.",0

не давайте уткину пенальти бить...,1

Второй тайм лучший в этом сезоне эх Ростов могли камбекунть Как Вердер 🔥🔥🔥🔥🔥🔥🔥,1

Уткин дырявый,1

А чо не 4:2? 🤣,1

🤐,1

"Два пенальти не забить🤯🤯🤯
Пенальти бить надо, а не катить!
на всю неделю закрыть на базе, пусть учатся бить пенальти",1

"Мне одному кажется, что Ростов тащат судьи?!
Постоянно ему дают пенальти как никому другому...",1

"Безбородов лучший игрок Сочи сегодня😆😆
Когда в РПЛ начнут нормально судить?",1

Очень рад за Николая Комличенко. Нашёл свою команду и своего тренера.,1

"Эх, Уткин! Как жаль! Но против нефтесосов все могло быть хуже.",0

"Да ну нафииииг как так Ростов ??? Я за вас болел оч ) два пеналя не забили , один момент защитник с ворот вытащил , три гола должны были забить помимо двух своих ((",1

6 туров Ростов без поражений.,1

Повезло Ростову,1

Зато Ростов одна из трёх команд идущих без поражений! Могут ребята! Ростов вперёд! (Хоть ни за кого и не болею),1

Уткину лучше штрафной пнуть с 30 метров... 🤡,1

"Ростов молодцы! Могли победить, но хорошо, что не проиграли.",1

Не повезло Ростову. Должен был выигрывать помойку)) со счетом 5-2,0

"Ничего мужики, реализацию подтянем и ещё поборемся за первые места 🟡🔵",1

"Я не хочу обидеть В.К. Но думаю карп по фейсу  надаёт игрокам . Хотя по игре , могу сказать не ждал такого чудо)) особенно финала игры ))",1

"Мда... 2 пенки не забить пипец и получить удаление! Хорошо хоть Ростов спаслись, молодцы все равно! Достойно) сочи не тот в этом сезоне, в прошлом были лучше с Федотовым. Точилин физрук🤣😏",0

"Обе команды - молодцы, выдали огненный матч !!! Адамов - лучший, по делу !!!",1

Плотненько в таблице стало...,1

За это мы и любим РПЛ 😍,1

"Суперматч!!! Валера красавчик, отыгрались с 0-2👍👍👍
Но с пенальти нужно что-то делать. Два нереализованных за игру – это перебор, Валера🤔",1

"Ростов характер,  молодцы",1

АДАМОВ ПРОСТО КРАСАВЧИК,1

"Боруссия и Вердер там ещё хуже, те 2 ввели потом 3 в конце пропустили я в ахере был🤣",0

"Молодцы ростовчане , продолжайте сражаться на поле и отдавать всю силу , у команды Валерия Карпина характер.)",1

Академия Краснодара умеет воспитывать крутых вратарей.,1

"Адамов молоток. Последний кипер а РПЛ, который тащил два пенальти за матч Лодыгин у Зенита лет 9 назад...",1

"Ростов не забил два пенальти, но забили дальнюю пушку с 25 метров и автогол))) Весёлая команда 🤣  Валере надо дать установку вообще не входить в штрафную, и всей командой лупить издали 🤣🤣🤣",1

Камбек,1

"За два тура много забили и много пропустили,это хорошо что отыгрались с 0-2 ,но 2 пенальти не забить, особенно под конец матча, это не приятно не только не забив два пенальти, ещё и до обеда упустили возглавить турнирную таблицу",1

"Эх...Утя, Утя...мы за тебя проставы ждали.🤦‍♂️ Теперь Сочи за Адамова проставляется.",1

Душой и телом за Ростов (Факелон🤗🤗🤗),1

Так играть нельзя,1

так Комличенко или Мещанинов? на чемпике Мещанинов,1

красава Ростов,1

Нужен видеобзор поглядеть основные моменты этой эпической битвы ),1

"Спасибо командам за ничью, потому, что в случае победы Ростов бы выходил на 1 место с 14 очками, обогнав Спартак с 13 очками! Такой результат я и ждал)",1

"Эх, жаль, думал очередная победа Ростова 💪ну ничего , всё впереди, верим.",1

"Капец народу мало! И это Ростов Сочи, можно сказать южное дерби! Вот вам И Фан Айди. Скоро на всех стадионах посещаемость 5-10 тыс. Будет 🤣🤦‍♂️🤦‍♂️",1

красавцы братья,1

Даааааааа,1

Хорошая связка👌,1

Спасли очко😆😆,0

Комментатор доболтался 😂,1

Ростов Мочи полупокеров,0

РОСТОВ ЖЖЁТ!,1

ЗНАЛ ЧТО МОГУТ!,1

Лучшая связка в РПЛ,1

"Молодцы, что сравняли счет! Но пенальти надо забивать!",1

Красавцы,1

Молодцы!!!,1

Вперёд Сельмаш,1

Это уже классика,1

Ну как же так?! 2 пенальти не забить!,1

не давайте уткину пенальти бить...,1

"Че творят воспитанники Краснодара! Одни забивают на исходе, другой тянет пендаль. Класс!",1

что творит эта связка) красавцы👍,1

"ждёёём героический обзор, геройского матча)))",1

Зря Краснодар Данила отдал 👿👿,1

👍,1

"Ростов, не подведи 👍",1

"Времени достаточно, давай Ростов, не дай гитлер-сочи победить.",0

Комличенко все таки конченное днище👎🏻 просто отдал победу Сочи.,0

Сочи пидорский клуб👍🏻 хотя бы за матч с детьми им должно воздаться.,0

2-2,1

"Ростов,вперед!",1

ближний угол - косяк вратаря,1

"Чисто похороны, отличный гол во всех компонентах",1

Красиво убрал и в девятку,1

"Ростов стал Спартаком, всю игру играет лучше в миллиарды раз, пропускает дурачка и все.",1

"Кто то ожидал другого?
Ростову не дадут просто так быть в тройке",1

"Ростов, соберись!",1

"Ну вот, а говорят Спартак одолел слабеньких сочинцев. А те в свою очередь организованный Ростов катают уверенно.",1

Пятый номер Ростова прям отлично в отбор идёт :) шикарный защитник,1

Техника зашкаливает,1

Гол сезона в данный момент . Исполнение на самом высшем уровне,1

"Сколько лет нобоа, 45?",1

Заторможенная группа 😂,0

и где там пенальти,1

там мяч пролетел не задев руку!,1

Судью на мыло,0

Пробили дно,0

Пенальти за игру головой в голову? Больше я ничего на повторе за 10 раз не увидел.,1

"Ты можешь быть хоть дочкой Путина, но если ты играешь против дочки Миллера, ты проиграешь",1

А пенальти то просто от балды поставили. Игры локтем не вижу. И повторы просто топ,1

Газпромовский судейка ожидаемо отработал,0

"Не увидел ни игры рукой в мяч, ни игры рукой в голову. Высосали пенку. А ну да Казарцев же на варе бог пенальти не с того ракурса🤣🤣🤣",0

Левый пендаль,1

Мне кажется ему футболка большая,1

Артур Смольянинов?😀,1

Ростов-Сочи 0:1,1

"Я как фанат ФК ЗЕНИТ. ФК ДИНАМО. Молодцы мужики. А ФК СПАРТАК посмотри внимательно за игрой Александра Соболева. Против него я ничего не имею, пусть забудет свои сопли и нырки.",1
 
Наши любимые 🤡: Ванютка Скобей, Прохор Романов мальчик наш, Машулька Кудашова и тд",1

Суперчел,1

Не заслуженно. Умярову отдайте,1

хорошего игрока приобрели),1

Почему не спартаковский черный властелин и легенда Пемос или он только Оренбургу забивает? Заремка не заскулит опять про заговор?,0

"Динамо респект во втором тайме просто натягивали, это было 45 минут унижения. Кстати Соболева должны были удалять за удар в лицо вратарю!",1

Дно полнейшее,0

"Я скажу одно меняйте Умярова,Денисова,Соболева и почему не выпускают рыбуса???",1

Молодец!!!! Держи пятюню🤝👏👍,1

Лучший игрок матча Руслан Литвинов!!!,1

А че не Умяров?,1

Похож на одного актера,1

Лютый из 9 роты,1

"Супер чел ,из Гуарани💙🔥🔥🔥",1

УМЯРОВ 🤡🤡🐓🐓,1

Умяров лучший у Динамо,1

"Захарян хорош, как минимум три раза сделал передачу голевую, в одном моменте фомин в штангу попал, фернандес головой зарядил в штангу, ещё третий момент с перекладиной. Счёт мог быть 3 -0. У Спартака таких моментов не было",1

"Заслуженная победа Динамо! Две штанги и перекладина! Молодцы,Динамо 💪",1

"Ахахахахахахахахха даааааааааааааааааааааааа 😍😂 
 
Ну чооооо 🤡 как вы там? Выползайте по одному 🔥 
Ныть тут? 👇🏻",0

В Спартак здесь как минимум 2 залетело),1

"Вернулись править. Не смогли додавить команду в большинстве, XYXYЯН бы еще полматча добавил, ну а так победа заслуженная и по делу. Ждём заявлений о снятии с чемпионата.",1

"Вернулись, чтобы править!",1

"Вот первый серьезный Соперник и от игры Спартака не следа ещё соболеву даже жк не дали пздец ну и судейство по башке шунину ногой это красная вообще
Щас боты Сраптака будут скулить 
Внизу",0

"Жаль, не повезло, равная игра",1

Пацаны🤣,1

ПАЦАНЫ,1

Ну что пятитуровые  чемпионы где вы?,1

Надеюсь после этого матча начнётся падения ДНА!!! Динамо КРАСАВЦЫ!!!,0

"Забавно, Спартак вроде играл лучше, весь матч давил, но по факту Динамо могло закатить ещё 3-4, две штанги, перекладина, много подходов, а у красно-белых толком опасного ничего не припомню.",1

"Какой мощный матч💪 Европа отдыхает 😏. Спартак, вы всё равно лучшие😍",1

"как же Кукуян пытался помочь красно бледным, не получилось))",1

Игра огонь🔥,1

"С первой победой за долгое время Динамо 👏, на своём поле в Премьерке , Умяров  вернул долг за кубок Динамикам 😂
Игра понравилась от обеих команд , были моменты и у тех и других , на ничью точно Спартак наиграл ! 
Ну ничего страшного , без поражений  не бывает побед 
Верим до конца 🔴⚪️💪",1

Чуть сильнее соперник чем Урал и мясо сыпется,1

"Хорошая игра в целом.Динамо поздравляю с долгожданной победой.
Не везло как нам так и вам,но с голом повезло больше)
В любом случае победителей не судят,так держать.
Защитная тактика себя оправдала.
Спартаку нужно научится реализовывать свои моменты",1

"Наиль несмотря на привоз, хорош был",1

"С ПобеДой, СораДники!ТОЛЬКО ДИНАМО-ТОЛЬКО ПОБЕДА!!! ОДНА ЖИЗНЬ-ОДНА КОМАНДА!!!",1

"Вот это футбол 
С победой динамо 👍
Красавцы !!!!!!!!",1

"Более менее опозиция и всё как обычно, Газпром купил мастерство Умярова",1

"Динамо, лучшие💙💙",1

Спартак чистый отскок,1

Умяров иди на*уй,0

"Где вы Спартачи, кто там ""Вернулся править""",1

"Кукуян и Газпром всё
Так бы сраптак победел",0

хаахах это им не Сочи,1

"С победой, братья Динамики)))",1

Красавцы динамики!👏,1

"С возвращением на 1 место,Зенит)",1

Менты сегодня провели матч жизни.,1

Ай красавцы! Со свиноепом пацаны)),0

Просто праздник какой-то........,1

"Ура, лядь",0

Динамо красавчики ✌💪,1

Пацаны?,1

"Все плохие серии когда-нибудь заканчиваются, как и чёрные полосы. 
С победой Динамо! Не ожидал",1

Праздник какой-то 🥳,1

"Динамо, поздравляю с победой!",1

"Динамо с победой, матч был хорош) Спасибо за игру.",1

"Слава вам, братья! С победой! Слава богу с Шуниным обошлось.",1

"Кукуян за Зенит ??? Почему Соболева опять не удалили. Опять пожалели ? Краснодар....Динамо, не слишком ли много поблажек ему ?",1

"Игра классно смотрелась) Динамо не везло с каркасом ворот, но повезло с Умяровым!)
Плюс минус равная игра на хороших темпах. Жаль первого места, конечно) ну что ж)
Спасибо за игру ⚪️🔴🤝🔵⚪️",1

"Не понял
На каком основании гол забрали?
Я просто не смотрел матч",1

"Ахахахахах ахахахахахахахаххахаха, один матч проиграли, а вони на весь интернет
Блевотный футбол сегодня, автобус поставили и нормальнл",0

"не дали кк Соболю, незасчитанный гол Сазонова и куча каркасов у Динамо, Спартак отскочил",1

"Спартак давил всю игру...Игра хорошая была,Шунин красава)",1

"Динамо молодцы,отстояли счëт! 😎👍",1

Не может быть спартак❤️🤍,1

2:0,1

Поздравляю!!!🤝🏻 Тюка молодец.,1

Не долго музыка играла))))),1

Опять Газпром купил? Сралтачи взвыли,0

Давайте к нам в Воронеж поросята! Шашлык будет знатным😆,0

"Динамо с победой, от души!!! Как фан ЦСКА переживал как за своих",1

с победой,1

Ждём Спартак в Воронеже,1

Рабы! Скулите! 😌 🤲🏻,0

Хороший матч динамо объиграло тактически с победой бело-голубых,1

Динамо поздравляю от всей души!!! Очень классный матч!!! Просто молодчины!!! Соболев CHMO!!!,1

ЧТО-ТО ЛИДЕР ПРОИГРАЛ ДИНАМЕ,1

Динамоооо💪Молодцы!,1

"УРАААА ПОЗДРАВЛЯЮ ДИНАМОООО БРАТ (ЦСКА И ПАРТИЗАН) 
ГАЗПРОМ КУПИТЬ СУДЬЯ ВСË!",1

Дурацкий гол ...,1

Уфу с заслуженной победой,1

Динамо отжарили мясо!!!!🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0

"Обоссали. Мясные отскочили во втором тайме)) 2 штанги и отменённый гол, должны были 2-3 забивать. Нытьё мясных щас начнётся, что вам повезло и тд, но по факту у вах ничего опасного не было, все удары на себя брали защитники и тащил Шунин.
Умярову отдельный привет за привозик😂",0

"Не, ну видели это, ну однозначно судью купили, надо же Зенит ""за уши"" тянуть, позор мля",0

"Соболев, такой плакса😂",0

"Еще 2 штанги и перекладина, 4:0 очередные могли быть",1

"Ну Динамо молодцы конечно, с победой вас!!",1

"Всех Динамиков с Победой! Давно не побеждали спартак, особенно важно, что победили именно сейчас, когда он был первым…",1

"НУ что, спартачи, кто на этот раз всё подкупил?",1

Так 2-0 не? Или я уже слепой?,1

2 штанги и 1 перекладина у Динамо,1

Почему дельфину КК не дали??? Бред.,1

Всех с победой,1

Динамо автобусник 😃👍из Уфы примере взяли,1

"К сожалению Спартак не прошёл первую серьёзную проверку. У них такой календарь впереди, что становится страшно, а смогут ли они взять максимум в следующих встречах?",1

"Знаешь ли ты, что сильней менты!",1

"Что и требовалось доказать, первый раз сыграли не на контр атаках",1

Ха временные лидеры Чемпионата отжарены!!!!🤣🤣🤣🤣🤣🤣🤣🤣🤣,0

Плсыпались!!!! Динамо молодцы!!!,1

"Динамо 😍 Спасибо за огненный матч 🔥
Саба красавчик! 💙",1

Почему соболеву не дали кк?,1

"Динамо ⚪🔵 
Бело-синий, сегодня, самый сильный!
И за Фернандеса я согласен. Столп, как сказали бы в регби.",1

Менты молодцы,1

"У мусоров видимо, каждый сезон задача не в створ, а в каркас бить",1

чемпионат становиться всё интереснее,1

Динамо молодцы!,1

Должно быть 4-0 🐽🐷🤣,1

Динамо красавцы 💪,1

Первое умяров лучший 😃🤣а во вторых это всего лишь один матч безтрофейник пусть порадуется кубок то мы у них забрали 🤣,1

От души динамики,1

Сынок топ  химки молодце,1

химки и урал фнл 🤣,1

Спартак играл лучше.  Но это футбол.  Умяров подарил победу .  Динамо со стандртов имели шансы добить.. Спартак же так и не взломал ..,1

"главное что сынок играет,а что три глотнули ниче страшного)",0

"Клоунада продолжается))))самая странная красная карточка которую я видел,Худяков красавчик , очень надёжно играет , в сборную пора",0

Куда интересней будет игра👍👍👍,1

Ростов вперёд 👏,1

Болельщик Локо. За Ростов! ✊,1

"Ростов, жги. Но на стадик не стоит ходить",1

Ростов удачи!!! Карпин лучший тренер.,1

Ростов! Валерим!👌,1

Победа и первое место)),1

Сочи,1

Лучше ничия,1

Урааа победы Динамо (ЦСКА и Партизан) Газпрому купить судья Зенит,1

легчайшая для Ростова,1

Будет пенальти.  Это точно,1

Ростову и Сочи удачи!,1

"Южан не менее интересно будет посмотреть, чем Москвичей, Карпин занялся наконец делом, совмещение дурная идея, ждем🔥🔥🔥🔥⚽",1

"За Ростов...команда молодая,очень нравится)))удачи в этом сезоне!",1

Сочи давай,1

Клоуны бл,0

Судья ….,1

"Зачем нам нужен убогий чемпионат,  если ВАР НЕ ДАЕТ ПЕНАЛЬТИ Ростову и даёт левый пенальти Сочи ? Если даже без Еврокубков выши судьи подонки дают пенки левые Газпромовским командам , то ваша РПЛ накуй не кому не нужна .",0

Не выиграет Ростов ) подтянется таблица просто,1

"Уже Сочи давно ведет,а здесь молчат))",1

Админ спит,1

"Запах бекончика🐷
Судья виноват?)",1

"фол на Соболеве
судья 🤡",1

Умяров это ответочка за КУБОК,1

АХАХАХАХАХАХАХАХАХАХЭА ЗААААГААААВАААААР,1

Харри Магуайр в шоке от таких подарков,1

"Это карма, Умяров)",1

Бездарю Умярову привет,0

"Да ладно не беда,время есть отыграться",1

Умяров обосрался 😂😂😂,0

"Хаааа, первый пошёл! 👍",1

"Умеров 🤦‍♂️🤦‍♂️🤦‍♂️

Я не понял , где нарушение на Соболеве , аууу",1

Отскок Динамо.... Такой отскок..,0

пасуй назад - не проиграешь😂,1

"Курьёзный гол, допасовались с Селиховым",1

"А когда Рассказов стал играть не в защите, а в полузащите?
( без обид, красно-белые)
Но ээто",1

Умяров добрый вечер,1

Не дать штрафной на Соболе👍,1

Первая пошла!,1

Умяров на стиле,1

Мяса,1

"Ой бляять, палено еббаное..",0

"Умяров красавчик, очередной подгон от него👏👏👏🤣🤣🤣",0

Ха ха умяров клоун🤣,0

"Умяров......
Да бл#ть!!!",0

ГОООЛ,1

Умярову так и надо,1

Щас будут ныть молв судей купили аххпах,0

"Ошибка, которая привела к голу😏",1

