comment,mark
Вспомнил голы Анри и заплакал...,1

А ведь для шизоидов он по-прежнему «игрок одного сезона »,0

Салах идёт за ними 🇪🇬,1

Из них 100 с пенальти...,1

Холланд твой выход,1

Скок у него трофеев по сравнению с остальными в топ 5?)),1

Топ чё,1

Половина с пенальти...,1

Игрок одного сезона,1

а по титулам на каком месте?,1

Да вообще пофиг. Так и останется без единого трофея со своими голами))),0

Больше,1

Что там по трофеям!?!?,1

Среди нападающих ?,1

И у кого сколько матчей ушло на это надо писать,1

Позор Апл ни кому не интересен,0

"Какой матч в 17:00 будем смотреть, чуваки?🤔",1

Нахуя брентфорд ты купил дамсгарда? Даже в запасе нет..,0

Че то лестер продаёт тольк всех а не покупает,1

А какая группа там транслировала матчи?,1

Как же возят петухов,0

"Дичь а не футбол, убитые зря 45 минут🤦‍♂️",0

Адама порешает😁,1

Волки красавцы,1

доминирующий агрессивный стиль волков против слабого соперника.,1

Такой скучный футбол… как можно болеть за Тоттенхэм ?,0

Рубен Невеш игрок высшего класса,1

Невеш зверь пора бы ему в топ клуб,1

"С челси повезло тут и проиграть могут,  ужасно играет ттх",0

"Волки хорошо играют 
Но помимо  Гедеша нужен нападающий им 
Гедеш хорош 
Но не как нападающий",1

Второй состав Сборной Португалии показывают как нужно играть шпорам,1

Петухам везёт с...,1

2:1 закончится,1

в пользу тотихэма,1

ТТХ топи!,1

Где Где можно посмотреть,1

А где можно посмотреть,1

"Пока возят ТТХ, но чувствую будет отскок и выиграют 2-0, 2-1",1

"Ужасная игра Ттх, но на контр атаках могут отскочить и забить. Но думаю Вулвз выиграет минимально",0

На такое,1

Нет тейлора с дином и не голов ),1

Ссылку пожалуйста на трансляцию,1

"А чë Конте там делает, у него же красная была",1

Типичный футбол конте 🤢,1

типичный Смехл Апл,1

Так и думала что Кейн забьет.офигееть.,1

За Вулвз,1

"Ну если Майк Дин судит, то думаю Ттх выиграет",1

Ставлю на то что игрок Вулвз получит травму и ТТХ ничего не будет,1

Где смотреть,1

Ссылку можно,1

Сслка есть?,1

Ттх что-нибудь вообще делать будет сегодня? 0 ударов с таким нападением,1

Че по трансляции пацаны?,1

Печально смотреть на петушков.,0

Нулевой ТТХ,1

Ттх 3:1 Вулверхэмптон,1

Киньте ссылку,1

Топ чё,1

На ттх зря поставил 1.5 больше,1

Отскок петухов. Как обычно,0

Рад за ТТХ,1

Мужик остаётся💪,1

зверь!)),1

Прекрасный клуб с прекрасными игроками.Удачи в сезоне,1

Мю реально надеялись что Варди бросит Лестер ?)),1

Базара нет. Грамотный и принципиальный футболист,1

Вот это я понимаю преданность!,1

Живая Легенда Лестера!,1

Хороший нап,1

"В чемпионском сезоне был топ, даже нырял очень профессионально, не тошнило)",1

Батя красавчик 👍👍,1

"Гробит карьеру.
С другой стороны стал легендой клуба! 
Удачи, Варди",1

Легенда.,1

А его голевая серия в чемпионском сезоне чего стоит👏,1

"А что ему еще делать, идти на понижение или остаться как в РФ😂😂",1

"Вот он живая легенда, надеюсь ему установят памятник, возле стадиона",1

💔 Легенда клуба 🙏,1

Петухи против Португалии😁,0

Это что Волки на 4-3-3 перешли?!😁,1

Вперед Волки!скушайте петушар😁,0

Кто болеет за петушня,0

"Ахуеть со стартовых с 22 человек только 3 англичанина, в тот 2, в вулв 1...та там вообще ебанное собрание Португалии.. 7 человек в старте. Птздец... Чет говенно смотреть... Где же та англия 15 лет назад... Пиздец.... Одна чернота сука лезет.... Пелас вообще пиздец, африка нахуй",0

Капец у Волков сильный состав,1

"поддержка своих, даже если те ублюдки",0

Вот Он и есть Великий Тренер. Он даже за них когда футбол прошёл. Класс 92 для него не просто игроки. Они его Родные. Великий Человек больше такого у МЮ наверно не будет. Это было привилегией для команды иметь такого Менеджера как Саф,1

В глазах жены брата тоже,1

ИМ надо фильм снять класс 92 про САФА и остальных,1

"Трепещи Европа!! Мю возвращается на трон мирового футбола😱😱😱 Вы посмотрите каких топов покупает великий Мю, такие трансферы Лузерпулью только снятся!! Я уже предвкушении как Мю будет выигрывать Апл",0

"Любого игрока МЮ возьми, будет уровня Чемпионшипа и не выше",1

Кому АПЛ нужно в лс,1

"Блин понимаю что какой смысл этих слов, но либо написано не правильно либо переведено, либо мой скудный склад ума даёт огрехи.  «Если Райан Гиггз способен это выдержать, то и мы сможем» но это звучит так что он был самым слабым и нежным, типа если он может то другой с лёгкостью это выдержит, ""мерила дна"".",0

Том чё,1

"Он кстати в крысу переспал с женой брата, держу в курсе",0

"Ага, 8 в ворота получят и пизда будет😂",0

"Главное, чтоб посмотрелись в тотемное норвежское зеркало и вышли на матч, как раненые звери💪",1

"Идиоты, а не фанаты.
У них траты на игроков огромные, а эти обезьяны еще чем то недовольны. 

Помню, как Ттх себе больше сезона ""трансыерный бан"" выписал и сколько лет толком не тратились.

А тут траты как у Сити и Пенсов, двух мешков, а манки еще и недовольны.... Будто новые владельцы придут и говно игроки заиграют, Роналду в свои 37 побежит прессинговать.

Идиоты",0

"Что тебе мешает поменять всю защиту, если твои боссы тратят 200 миллионов на атаку?",1

Мда,1

"Здесь что, одни школото собрались??? А где серьёзные и адекватные болелы?",0

Дед пей таблетки,0

Ахахахах что он курит)))))),0

Сказочный долбоеб,0

Это даже не смешно😑 Зенит за выживание боролся бы в АПЛ😉,1

🤣🤣🤣🤣даже в чемпионшип не пробьётся,1

Ты под чем мужик очнись🖐🏿🖐🏿,0

"Да они из чемионшипа вылетели, какой ещё апл",1

Сравнил  гамно с лопатой🤦‍♂️,0

спартак и так в топ-10 в прошлом сезоне был 😄,1

Выздоравливай😔,1

Андоррскую премьер лигу он имел ввиду?,1

Зомби все с ума сошли чтоли 😅,0

Может он просто с Чемпионшипом перепутал?))))),1

"я предполагаю, он имел в виду финансовый вопрос",1

Доже вЧемпионшипон они были бы на дне.Футбол дыр дыр никому сейчас неинтересен.,0

Фляга свистит прилично 🤦‍♂️,1

"меньше бухать надо, а то и не такое привидится.",0

Вылетели бы к хуям))),0

"Ахахаха,максимум Чемпионшип ,место 18ое",1

"Спартак в лучшем случае Чемпионшип
Зенит может топ-15 бы удержался",1

"Деду таблетки нужно выпить, такую ересь писать... Они там только МЮ обыграть смогли бы и скатать в ничью с кем-то раза 2-3)",0

Топ 15 чемпионшип,1

Бля какая дура,0

Ору,1

"Ага бля, в национальной лиге боролись бы за выживание или в лиге 2",0

Он видимо имел в виду Чемпионшип . И то вряд ли,1

"Ты че бляд пьяный что ли , в топ Чемпионшип они не попали бы",0

"При всем уважении, дед сошел с ума определенно😂",0

"ага..  каждый еврокубковый сезон,  показывают свой уровень😂😂😂",1

Он про ЧШ по-любому 😂,1

Маразм видимо уже,0

Дед таблетки забыл принять что ли?,0

"У старого давно деменция началась, а у него интервью ещё берут",0

"""БЫ"", ""бы""... Если бы играл Спартак в АПЛ-тренер другой, владелец другой, игроки - другие.",1

Че курить он😆😆🤣,0

"В чемпионшип они бы попали, ходячие деревья ёпт!!😂😂",0

